hospital_name,phone_number,fk_location_id,opening_time,closing_time
코로나19 경기도 광명시 예방접종센터,02-2680-0959,41210,9:00,18:00
코로나19 경기도 의정부시 예방접종센터,031-870-6547,41150,9:00,18:00
코로나19 경기도 평택시 송탄 예방접종센터,031-8024-7242,41220,9:00,18:00
코로나19 경기도 이천시 예방접종센터,031-645-3401,41500,9:00,18:00
코로나19 경기도 여주시 예방접종센터,031-887-3277,41670,9:00,18:00
코로나19 경기도 파주시 예방접종센터,031-940-5597,41480,9:00,18:00
코로나19 경기도 부천시 예방접종센터,032-625-4493,41190,9:00,18:00
코로나19 경기도 양평군 예방접종센터,031-770-3944,41830,9:00,18:00
코로나19 경기도 하남시 예방접종센터,031-790-5923,41450,9:00,18:00
코로나19 경기도 의왕시 예방접종센터,031-345-2071,41430,9:00,18:00
코로나19 경기도 김포시 예방접종센터,031-5186-8300,41570,9:00,18:00
코로나19 경기도 광주시 예방접종센터,031-760-8755,41610,9:00,18:00
코로나19 경기도 안양시 만안구 예방접종센터,031-8045-3110,41171,9:00,18:00
코로나19 경기도 군포시 예방접종센터,031-389-4940,41410,9:00,18:00
코로나19 경기도 포천시 예방접종센터,031-538-3611,41650,9:00,18:00
코로나19 경기도 구리시 예방접종센터,031-550-8666,41310,9:00,18:00
코로나19 경기도 고양시 덕양구 예방접종센터,031-8075-4825,41281,9:00,18:00
코로나19 강원도 동해시 예방접종센터,033-539-8346,42170,9:00,18:00
코로나19 강원도 태백시 예방접종센터,033-550-3121,42190,9:00,18:00
코로나19 강원도 속초시 예방접종센터,033-639-2131,42210,9:00,18:00
코로나19 강원도 영월군 예방접종센터,033-370-2517,42750,9:00,18:00
코로나19 강원도 평창군 예방접종센터,033-330-4835,42760,9:00,18:00
코로나19 강원도 정선군 예방접종센터,033-560-4024,42770,9:00,18:00
코로나19 강원도 인제군 예방접종센터,033-460-2513,42810,9:00,18:00
코로나19 충청북도 고성군 예방접종센터,033-680-3957,42820,9:00,18:00
코로나19 충청북도 청주시 서원구 예방접종센터,043-201-3253,43112,9:00,18:00
코로나19 충청북도 제천시 예방접종센터,043-641-3902,43150,9:00,18:00
코로나19 충청북도 옥천군 예방접종센터,043-730-2192,43730,9:00,18:00
코로나19 충청남도 공주시 예방접종센터,041-840-8791,44150,9:00,18:00
코로나19 충청남도 보령시 예방접종센터,041-930-5901,44180,9:00,18:00
코로나19 충청남도 부여군 예방접종센터,041-830-8682,44760,9:00,18:00
코로나19 충청남도 서천군 예방접종센터,041-950-4046,44770,9:00,18:00
코로나19 충청남도 예산군 예방접종센터,041-339-6082,44810,9:00,18:00
코로나19 충청남도 태안군 예방접종센터,041-671-5349,44825,9:00,18:00
코로나19 전라북도 익산시 예방접종센터,063-859-7481,45140,9:00,18:00
코로나19 충청남도 당진시 예방접종센터,041-360-6120,44270,9:00,18:00
코로나19 전라북도 진안군 예방접종센터,063-430-8503,45720,9:00,18:00
코로나19 전라북도 고창군 예방접종센터,063-560-8564,45790,9:00,18:00
코로나19 전라남도 나주시 예방접종센터,061-339-2157,46170,9:00,18:00
코로나19 전라남도 담양군 예방접종센터,061-380-3961,46710,9:00,18:00
코로나19 전라남도 곡성군 예방접종센터,061-380-8981,46720,9:00,18:00
코로나19 전라남도 고흥군 예방접종센터,061-830-6626,46770,9:00,18:00
코로나19 전라남도 보성군 예방접종센터,061-850-5683,46780,9:00,18:00
코로나19 전라남도 장흥군 예방접종센터,061-860-6476,46800,9:00,18:00
코로나19 전라남도 화순군 예방접종센터,061-379-5992,46790,9:00,18:00
코로나19 전라남도 강진군 예방접종센터,061-430-3595,46810,9:00,18:00
코로나19 전라남도 영암군 예방접종센터,061-470-6578,46830,9:00,18:00
코로나19 전라남도 무안군 예방접종센터,061-450-5110,46840,9:00,18:00
코로나19 전라남도 함평군 예방접종센터,061-320-2419,46860,9:00,18:00
코로나19 전라남도 장성군 예방접종센터,061-390-8332,46880,9:00,18:00
코로나19 전라남도 완도군 예방접종센터,061-550-6761,46890,9:00,18:00
코로나19 전라남도 진도군 예방접종센터,061-540-6043,46900,9:00,18:00
코로나19 전라남도 신안군 예방접종센터,061-240-8816,46910,9:00,18:00
코로나19 경상북도 경주시 예방접종센터,054-760-2721,47130,9:00,18:00
코로나19 경상북도 문경시 예방접종센터,054-550-8278,47280,9:00,18:00
코로나19 경상북도 경산시 예방접종센터,053-810-6317,47290,9:00,18:00
코로나19 경상북도 의성군 예방접종센터,054-830-6678,47730,9:00,18:00
코로나19 경상북도 청송군 예방접종센터,054-870-7220,47750,9:00,18:00
코로나19 경상북도 봉화군 예방접종센터,054-679-6741,47920,9:00,18:00
코로나19 경상남도 창원시 예방접종센터,055-225-5713,48123,9:00,18:00
코로나19 경상남도 사천시 예방접종센터,055-831-3624,48240,9:00,18:00
코로나19 경상남도 김해시 예방접종센터,055-350-0487,48250,9:00,18:00
코로나19 경상남도 밀양시 예방접종센터,055-359-6101,48270,9:00,18:00
코로나19 경상남도 거제시 예방접종센터,055-639-6155,48310,9:00,18:00
코로나19 경상남도 양산시 예방접종센터,055-392-8721,48330,9:00,18:00
코로나19 경상남도 의령군 예방접종센터,055-570-2872,48720,9:00,18:00
코로나19 경상남도 함안군 예방접종센터,055-580-3335,48730,9:00,18:00
코로나19 경상남도 창녕군 예방접종센터,055-530-6277,48740,9:00,18:00
코로나19 경상남도 고성군 예방접종센터,055-670-4080,48820,9:00,18:00
코로나19 경상남도 남해군 예방접종센터,055-860-8776,48840,9:00,18:00
코로나19 경상남도 하동군 예방접종센터,055-880-6912,48850,9:00,18:00
코로나19 경상남도 산청군 예방접종센터,055-970-7548,48860,9:00,18:00
코로나19 경상남도 거창군 예방접종센터,055-940-8333,48880,9:00,18:00
코로나19 경상남도 합천군 예방접종센터,055-930-3693,48890,9:00,18:00
코로나19 부산광역시 영도구 예방접종센터,051-419-6262,26200,9:00,18:00
코로나19 부산광역시 사하구 예방접종센터,051-220-0131,26380,9:00,18:00
코로나19 부산광역시 기장군 예방접종센터,051-709-8636,26710,9:00,18:00
코로나19 대구광역시 수성구 예방접종센터,053-666-3117,27260,9:00,18:00
코로나19 대구광역시 달성군 예방접종센터,053-668-3133,27710,9:00,18:00
코로나19 인천광역시 계양구 예방접종센터,032-430-7972,28245,9:00,18:00
코로나19 경기도 수원시 권선구 예방접종센터,031-228-3702,41113,9:00,18:00
코로나19 경기도 연천군 예방접종센터,031-839-4067,41800,9:00,18:00
코로나19 강원도 양양군 예방접종센터,033-670-2221,42830,9:00,18:00
코로나19 충청북도 영동군 예방접종센터,043-740-5590 ,43740,9:00,18:00
코로나19 충청북도 단양군 예방접종센터,043-420-2872 ,43800,9:00,18:00
코로나19 충청남도 계룡시 예방접종센터,042-840-3523,44250,9:00,18:00
코로나19 충청남도 금산군 예방접종센터,041-750-4332,44710,9:00,18:00
코로나19 충청남도 청양군 예방접종센터,041-940-4807,44790,9:00,18:00
코로나19 충청남도 홍성군 예방접종센터,041-630-9042,44800,9:00,18:00
코로나19 전라북도 김제시 예방접종센터,063-540-1320,45210,9:00,18:00
코로나19 전라북도 완주군 예방접종센터,063-290-3021,45710,9:00,18:00
코로나19 전라북도 장수군 예방접종센터,063-350-2660,45740,9:00,18:00
코로나19 전라북도 임실군 예방접종센터,063-640-3174,45750,9:00,18:00
코로나19 전라북도 순창군 예방접종센터,063-650-5211,45770,9:00,18:00
코로나19 전라북도 부안군 예방접종센터,063-580-3046,45800,9:00,18:00
코로나19 경상북도 김천시 예방접종센터,054-421-2715,47150,9:00,18:00
코로나19 경상북도 영주시 예방접종센터,054-639-5776,47210,9:00,18:00
코로나19 경상북도 상주시 예방접종센터,054-537-6582,47250,9:00,18:00
코로나19 경상북도 영덕군 예방접종센터,054-730-6853,47770,9:00,18:00
코로나19 경상북도 예천군 예방접종센터,054-650-8051,47900,9:00,18:00
코로나19 경상남도 창원시 진해구 예방접종센터,055-225-6492,48129,9:00,18:00
코로나19 제주특별자치도 서귀포시 예방접종센터,064-760-6085,50130,9:00,18:00
코로나19 부산광역시 서구 예방접종센터,051-290-5322,26140,9:00,18:00
코로나19 부산광역시 해운대구 예방접종센터,051-749-1657,26350,9:00,18:00
코로나19 부산광역시 사상구 예방접종센터,070-8826-0939,26530,9:00,18:00
코로나19 부산광역시 중구 예방접종센터,051-600-4102,26110,9:00,18:00
코로나19 부산광역시 동구 예방접종센터,051-440-6460,26170,9:00,18:00
코로나19 부산광역시 동래구 예방접종센터,051-550-4981,26260,9:00,18:00
코로나19 부산광역시 강서구 예방접종센터,051-970-2806,26440,9:00,18:00
코로나19 부산광역시 연제구 예방접종센터,051-665-5372,26470,9:00,18:00
코로나19 부산광역시 수영구 예방접종센터,051-610-5603,26500,9:00,18:00
코로나19 대구광역시 남구 예방접종센터,053-664-3497,27200,9:00,18:00
코로나19 인천광역시 중구 예방접종센터,032-760-6022,28110,9:00,18:00
코로나19 인천광역시 미추홀구 예방접종센터,032-880-5702,28177,9:00,18:00
코로나19 인천광역시 남동구 예방접종센터,032-453-5658,28200,9:00,18:00
코로나19 인천광역시 옹진군 예방접종센터,032-899-3130,28720,9:00,18:00
코로나19 경기도 동두천시 예방접종센터,031-860-2634,41250,9:00,18:00
코로나19 경기도 오산시 예방접종센터,031-8036-6057,41370,9:00,18:00
코로나19 경기도 양주시 예방접종센터,031-8082-7157,41630,9:00,18:00
코로나19 경기도 수원시 장안구 예방접종센터,031-228-3737,41111,9:00,18:00
코로나19 경기도 수원시 팔달구 예방접종센터,031-228-3701,41115,9:00,18:00
코로나19 경기도 성남시 수정구 예방접종센터,031-729-3843,41131,9:00,18:00
코로나19 경기도 성남시 중원구 예방접종센터,031-729-3901,41133,9:00,18:00
코로나19 경기도 안산시 상록구 예방접종센터,031-369-1734,41271,9:00,18:00
코로나19 경기도 안성시 예방접종센터,031-678-5913,41550,9:00,18:00
코로나19 경기도 용인시 수지구 예방접종센터,031-324-8477,41465,9:00,18:00
코로나19 경기도 용인시 기흥구 예방접종센터,031-324-6083,41463,9:00,18:00
코로나19 경기도 고양시 일산서구 예방접종센터,031-8075-9441,41287,9:00,18:00
코로나19 경기도 시흥시 예방접종센터,031-310-5851,41390,9:00,18:00
코로나19 경기도 평택시 예방접종센터,031-8024-4336,41220,9:00,18:00
코로나19 경기도 과천시 예방접종센터,02-2150-3155,41290,9:00,18:00
코로나19 경기도 가평군 예방접종센터,031-580-4371,41820,9:00,18:00
코로나19 강원도 홍천군 예방접종센터,033-430-4028,42720,9:00,18:00
코로나19 강원도 횡성군 예방접종센터,033-340-5648,42730,9:00,18:00
코로나19 강원도 철원군 예방접종센터,033-450-4115,42780,9:00,18:00
코로나19 강원도 화천군 예방접종센터,033-440-2813,42790,9:00,18:00
코로나19 강원도 양구군 예방접종센터,033-480-2806,42800,9:00,18:00
코로나19 충청북도 청주시 청원구 예방접종센터,043-201-0937,43114,9:00,18:00
코로나19 충청북도 보은군 예방접종센터,043-540-5726,43720,9:00,18:00
코로나19 충청북도 증평군 예방접종센터,043-835-4225,43745,9:00,18:00
코로나19 충청북도 진천군 예방접종센터,043-539-7328,43750,9:00,18:00
코로나19 충청북도 괴산군 예방접종센터,043-830-2307,43760,9:00,18:00
코로나19 전라북도 무주군 예방접종센터,063-320-8103,45730,9:00,18:00
코로나19 경상북도 구미시 예방접종센터,054-480-4043,47190,9:00,18:00
코로나19 경상북도 군위군 예방접종센터,054-380-7440,47720,9:00,18:00
코로나19 경상북도 영양군 예방접종센터,054-680-5123,47760,9:00,18:00
코로나19 경상북도 청도군 예방접종센터,054-370-2646,47820,9:00,18:00
코로나19 경상북도 성주군 예방접종센터,054-930-8273,47840,9:00,18:00
코로나19 경상북도 울진군 예방접종센터,054-789-5032,47930,9:00,18:00
코로나19 경상북도 울릉군 예방접종센터,054-790-6832,47940,9:00,18:00
코로나19 충청북도 청주시 흥덕구 예방접종센터,043-201-0999 ,43113,9:00,18:00
